trade_date_year_mo,delivery_year_mo,weighted_avg_price,total_transacted_quantity
2017-12,2021-12,,
2018-01,2021-12,,
2018-02,2021-12,,
2018-03,2021-12,,
2018-04,2021-12,,
2018-05,2021-12,,
2018-06,2021-12,,
2018-07,2021-12,,
2018-08,2021-12,4.55,150.0
2018-09,2021-12,,
2018-10,2021-12,,
2018-11,2021-12,,
2018-12,2021-12,,
2019-01,2021-12,,
2019-02,2021-12,,
2019-03,2021-12,,
2019-04,2021-12,,
2019-05,2021-12,4.861549283922142,641.69
2019-06,2021-12,5.621621621621622,555.0
2019-07,2021-12,5.566511811023623,381.0
2019-08,2021-12,6.156310002141247,1587.86
2019-09,2021-12,5.910851063829787,235.0
2019-10,2021-12,15.426481367061912,2540.5199
2019-11,2021-12,6.319019685822232,1005.8
2019-12,2021-12,,
2020-01,2021-12,6.892876712328767,146.0
2020-02,2021-12,6.011738648947953,1128.7499999999998
2020-03,2021-12,6.775994250119788,208.7
2020-04,2021-12,6.064987937273824,1658.0
2020-05,2021-12,6.147235782747605,15.65
2020-06,2021-12,6.573035936968597,441.05
2020-07,2021-12,6.7800477897252085,209.25
2020-08,2021-12,7.790348863897178,1045.6799999999998
2020-09,2021-12,6.398594717199038,329.03000000000003
2020-10,2021-12,7.02462995036896,687.0699999999999
2020-11,2021-12,7.326449999999999,100.0
2020-12,2021-12,6.5,1.0
2021-01,2021-12,4.870895522388059,67.0
2021-02,2021-12,,
2021-03,2021-12,7.375,8.0
2021-04,2021-12,7.923566878980892,157.0
2021-05,2021-12,6.544967470340605,52.26
2021-06,2021-12,3.84,975.0
2021-07,2021-12,9.35,23.85
2021-08,2021-12,10.0,0.7
2021-09,2021-12,5.321187427240979,51.54
2021-10,2021-12,6.0,3.0
2021-11,2021-12,,
2021-12,2021-12,6.200739421868184,2406.83
2022-01,2021-12,,
2022-02,2021-12,,
2022-03,2021-12,,
2022-04,2021-12,,
2022-05,2021-12,,
2022-06,2021-12,,
2022-07,2021-12,,
2022-08,2021-12,,
2022-09,2021-12,,
2022-10,2021-12,,
2022-11,2021-12,,
2022-12,2021-12,,
2023-01,2021-12,,
