period,weighted_avg_price,total_transacted_quantity,total_std_qty,total_tx_qty,avg_std_price,num_trades,lag_1,lag_2,lag_3,lag_4,month,year,target_1,target_2
2014-11,3.2886178548780487,0.0,0.0,0.0,0.0,0.0,3.297560943902439,3.306504032926829,3.3154471219512196,3.3243902109756096,11,2014,3.2796747658536587,3.2707316768292682
2014-11,3.2796747658536587,0.0,0.0,0.0,0.0,0.0,3.2886178548780487,3.297560943902439,3.306504032926829,3.3154471219512196,11,2014,3.2707316768292682,3.2617885878048782
2014-11,3.2707316768292682,0.0,0.0,0.0,0.0,0.0,3.2796747658536587,3.2886178548780487,3.297560943902439,3.306504032926829,11,2014,3.2617885878048782,3.252845498780488
2014-11,3.2617885878048782,0.0,0.0,0.0,0.0,0.0,3.2707316768292682,3.2796747658536587,3.2886178548780487,3.297560943902439,11,2014,3.252845498780488,3.243902409756098
2014-11,3.252845498780488,0.0,0.0,0.0,0.0,0.0,3.2617885878048782,3.2707316768292682,3.2796747658536587,3.2886178548780487,11,2014,3.243902409756098,3.2349593207317073
2014-11,3.243902409756098,0.0,0.0,0.0,0.0,0.0,3.252845498780488,3.2617885878048782,3.2707316768292682,3.2796747658536587,11,2014,3.2349593207317073,3.2260162317073173
2014-11,3.2349593207317073,0.0,0.0,0.0,0.0,0.0,3.243902409756098,3.252845498780488,3.2617885878048782,3.2707316768292682,11,2014,3.2260162317073173,3.217073142682927
2014-11,3.2260162317073173,0.0,0.0,0.0,0.0,0.0,3.2349593207317073,3.243902409756098,3.252845498780488,3.2617885878048782,11,2014,3.217073142682927,3.208130053658537
2014-11,3.217073142682927,0.0,0.0,0.0,0.0,0.0,3.2260162317073173,3.2349593207317073,3.243902409756098,3.252845498780488,11,2014,3.208130053658537,3.1991869646341464
2014-11,3.208130053658537,0.0,0.0,0.0,0.0,0.0,3.217073142682927,3.2260162317073173,3.2349593207317073,3.243902409756098,11,2014,3.1991869646341464,3.190243875609756
2014-11,3.1991869646341464,0.0,0.0,0.0,0.0,0.0,3.208130053658537,3.217073142682927,3.2260162317073173,3.2349593207317073,11,2014,3.190243875609756,3.181300786585366
2014-11,3.190243875609756,0.0,0.0,0.0,0.0,0.0,3.1991869646341464,3.208130053658537,3.217073142682927,3.2260162317073173,11,2014,3.181300786585366,3.1723576975609755
2014-11,3.181300786585366,0.0,0.0,0.0,0.0,0.0,3.190243875609756,3.1991869646341464,3.208130053658537,3.217073142682927,11,2014,3.1723576975609755,3.1634146085365855
2014-11,3.1723576975609755,0.0,0.0,0.0,0.0,0.0,3.181300786585366,3.190243875609756,3.1991869646341464,3.208130053658537,11,2014,3.1634146085365855,3.154471519512195
2014-11,3.1634146085365855,0.0,0.0,0.0,0.0,0.0,3.1723576975609755,3.181300786585366,3.190243875609756,3.1991869646341464,11,2014,3.154471519512195,3.145528430487805
2014-11,3.154471519512195,0.0,0.0,0.0,0.0,0.0,3.1634146085365855,3.1723576975609755,3.181300786585366,3.190243875609756,11,2014,3.145528430487805,3.1365853414634146
2014-11,3.145528430487805,0.0,0.0,0.0,0.0,0.0,3.154471519512195,3.1634146085365855,3.1723576975609755,3.181300786585366,11,2014,3.1365853414634146,3.1276422524390246
